Index,,Listed name,,,,Description,,Quantity,,,Unit Price($),Whole price ($),Product Link
1,,(100pcs)100% original New 1N4148 IN4148 4148 DO-35 Chipset,,,,Diodes,,100,,,0.0204,2.04,https://www.aliexpress.com/item/3256807419851378.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1
2,,Original Cherry MX Mechanical Keyboard Switch Speed silent pink axis mute red shaft RGB SMD 3 pin switch,,,,Cherry MX mechanical switches,,4,,,1.5375,6.15,https://www.aliexpress.com/item/3256801835610798.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1
3,,WS2812B RGB LED Chip 5050SMD 10-1000PCS Black/White PCB WS2812 Individually Addressable Chip Pixels DC5V,,,,LED,,10,,,0.0459,1.64,https://www.aliexpress.com/item/2255801159561004.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1
4,,RP2040-Zero RP2040 for Raspberry Pi Microcontroller PICO Development Board Module Dual-core Cortex M0 Processor 2MB Flash,,,,RP2040-Zero,,1,,,3.34,3.34,https://www.aliexpress.com/item/3256806637247373.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1
5,,5PCS/LOT 20 Position 360 Degree Rotary Encoder EC11 w Push Button 5Pin Handle Long 15/20MM With A Built In Push Button Switch,,,,Rotary encoder,,5,,,0.1109,0.99,https://www.aliexpress.com/item/3256801237549169.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1
6,,"0.91 inch OLED Module White/Blue OLED 128X32 OLED LCD LED Display Module 0.91"" IIC Communicate For Arduino ROHS",,,,"0.91"" OLED screen",,1,,,5.21,5.21,https://www.aliexpress.com/item/3256806165075447.html?spm=a2g0n.shopcart.0.0.6bb438dasMdfve&mp=1
7,,PCB,,,,,,5,,,3.196,5.3,https://github.com/K-116/V1Macropad
8,,3d printed case,,,,,,1,,,x,$6.00 ,
9,,M3x16mm Screws ,,,,,,50,,,0.0198,$0.99 ,https://www.aliexpress.us/item/3256808523663879.html?spm=a2g0o.detail.0.0.437bAHg7AHg77a&mp=1&pdp_npi=6%40dis%21USD%21USD%202.11%21USD%202.11%21%21USD%202.11%21%21%21%4021033d1217746446440238031e0837%2112000046342342920%21ct%21US%216540925065%21%211%210%21&_gl=1*dgz0q1*_gcl_au*NjU1MDA1NjEwLjE3Njc5ODg4NjE.*_ga*ODQ3MzQwMjczMDc4MjQxLjE3NTg1OTc3MDU5OTY.*_ga_VED1YSGNC7*czE3NzQ2NDQyNzMkbzY2JGcxJHQxNzc0NjQ0NjQ0JGo0OCRsMCRoMA..&gatewayAdapt=glo2usa
10,,M3 Heatset Inserts ,,,,,,4,,,0.066,3.3,https://www.aliexpress.us/item/3256804349544912.html?spm=a2g0o.detail.0.0.5430xS8VxS8Vet&mp=1&pdp_npi=6%40dis%21USD%21USD%203.54%21USD%203.54%21%21USD%203.54%21%21%21%4021033d1217746446720188446e0837%2112000029512459902%21ct%21US%216540925065%21%211%210%21&_gl=1*1buee5z*_gcl_au*NjU1MDA1NjEwLjE3Njc5ODg4NjE.*_ga*ODQ3MzQwMjczMDc4MjQxLjE3NTg1OTc3MDU5OTY.*_ga_VED1YSGNC7*czE3NzQ2NDQyNzMkbzY2JGcxJHQxNzc0NjQ0NjcyJGoyMCRsMCRoMA..&gatewayAdapt=glo2usa
